Region,Company,Position,Location,Salary,Application URL,Company URL,Age (days)
USA,Point72,Quantitative Research Intern,New York,,,https://point72.com,
USA,Point72,Summer 2025 Quantitative Developer Internship,New York,,,https://point72.com,
USA,Point72,Quantitative Researcher Intern,New York,,,https://point72.com,
USA,Point72,Point72 Quantitative Research Intern,New York,,,https://point72.com,
USA,Scientech Research Capital,Quantitative Developer Intern,New Jersey,,,https://www.scientechresearch.io/,
USA,Scientech Research Capital,Quantitative Researcher Intern,New Jersey,,,https://www.scientechresearch.io/,
International,Amazon,Software Dev Engineer Intern - Data Scientist Track - Prime Video Partner Engineering,"Beijing, CHN",,https://www.amazon.jobs/jobs/2961399/apply,https://www.amazon.com,90.0
International,Uber,2025 Applied Scientist internship - Brazil,"Sao Paulo, S o Paulo, Brazil",,https://www.uber.com/global/en/careers/list/142927,https://www.uber.com,96.0
International,Citadel Securities,Quantitative Researcher - PhD Intern - Asia,Singapore,,https://www.citadelsecurities.com/careers/details/quantitative-researcher-phd-intern-asia/,https://www.citadelsecurities.com/careers,0.0
International,Citadel Securities,Quantitative Trading - Intern - Australia,Sydney,,https://www.citadelsecurities.com/careers/details/quantitative-trading-intern-australia/,https://www.citadelsecurities.com/careers,0.0
International,Citadel Securities,Quantitative Research - PhD Intern - Australia,Sydney,,https://www.citadelsecurities.com/careers/details/quantitative-research-phd-intern-australia/,https://www.citadelsecurities.com/careers,0.0
International,Citadel Securities,Quantitative Researcher - PhD Intern - Europe,Zurich,,https://www.citadelsecurities.com/careers/details/quantitative-researcher-phd-intern-europe/,https://www.citadelsecurities.com/careers,0.0
International,Citadel Securities,Quantitative Research Analyst Intern - BS/MS - Asia,Singapore,,https://www.citadelsecurities.com/careers/details/quantitative-research-analyst-intern-bs-ms-asia/,https://www.citadelsecurities.com/careers,0.0
International,Citadel Securities,Quantitative Research Analyst Intern - BS/MS - Europe,Zurich,,https://www.citadelsecurities.com/careers/details/quantitative-research-analyst-intern-bs-ms-europe/,https://www.citadelsecurities.com/careers,0.0
International,Citadel,Quantitative Researcher - PhD Intern - Europe,Zurich,,https://www.citadel.com/careers/details/quantitative-researcher-phd-intern-europe/,https://www.citadel.com/careers,1.0
International,Citadel,Sector Data Analyst - Intern - Europe,London,,https://www.citadel.com/careers/details/sector-data-analyst-intern-europe/,https://www.citadel.com/careers,1.0
International,Citadel,Quantitative Research Analyst Intern - BS/MS - Europe,Zurich,,https://www.citadel.com/careers/details/quantitative-research-analyst-intern-bs-ms-europe/,https://www.citadel.com/careers,1.0
International,Citadel,Quantitative Research Analyst Intern - BS/MS - Asia,Singapore,,https://www.citadel.com/careers/details/quantitative-research-analyst-intern-bs-ms-asia/,https://www.citadel.com/careers,1.0
International,Citadel,Quantitative Researcher - PhD Intern - Asia,Singapore,,https://www.citadel.com/careers/details/quantitative-researcher-phd-intern-asia/,https://www.citadel.com/careers,1.0
International,Jump Trading,Campus Quantitative Researcher - Fall 2025 / Spring 2026 Intern,Hong Kong,,https://www.jumptrading.com/careers/7077932?gh_jid=7077932,https://www.jumptrading.com,4.0
International,Optiver,Quantitative Research Internship - PhD - Summer 2026 -Shanghai,"Shanghai, China",,https://optiver.com/working-at-optiver/career-opportunities/8064573002/?gh_jid=8064573002,https://optiver.com,6.0
International,Optiver,Quantitative Trading Internship - Summer 2026 - Shanghai,"Shanghai, China",,https://optiver.com/working-at-optiver/career-opportunities/8064569002/?gh_jid=8064569002,https://optiver.com,6.0
International,Optiver,Quantitative Research Internship - Bachelor's or Master's - Summer 2026 - Shanghai,"Shanghai, China",,https://optiver.com/working-at-optiver/career-opportunities/8064572002/?gh_jid=8064572002,https://optiver.com,6.0
International,Jane Street,Quantitative Researcher Summer Internship,NYC,,https://www.janestreet.com/join-jane-street/position/7979031002,https://www.janestreet.com,10.0
International,Jane Street,Quantitative Trader Summer Internship,NYC,,https://www.janestreet.com/join-jane-street/position/8047137002,https://www.janestreet.com,10.0
International,Jane Street,Machine Learning Researcher Summer Internship,HKG,,https://www.janestreet.com/join-jane-street/position/8061523002,https://www.janestreet.com,10.0
International,Jane Street,Machine Learning Researcher Summer Internship,NYC,,https://www.janestreet.com/join-jane-street/position/8060848002,https://www.janestreet.com,10.0
International,Jane Street,Machine Learning Engineer Summer Internship,NYC,,https://www.janestreet.com/join-jane-street/position/8048874002,https://www.janestreet.com,10.0
International,Jane Street,Quantitative Researcher Summer Internship - December-February,HKG,,https://www.janestreet.com/join-jane-street/position/7868859002,https://www.janestreet.com,20.0
International,Optiver,Quantitative Trading Internship - Singapore - 2026,Singapore,,https://optiver.com/working-at-optiver/career-opportunities/8011954002/?gh_jid=8011954002,https://optiver.com,23.0
International,Optiver,Quantitative Trading Internship - Taiwan - 2026,"Taipei, Taiwan",,https://optiver.com/working-at-optiver/career-opportunities/8011956002/?gh_jid=8011956002,https://optiver.com,23.0
